Date,Close,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10
2000-07-17 04:00:00,244.0,0.07835559578086193,-5.952170952996168,1.5484926630570288,-0.5700575182830538,-7.312462841430532,-1.3668423850214975,297.45612345343454,-302.3254040634252,-167.2271301935187,429.6710962424027
2000-07-18 04:00:00,241.25,-2.4580831809199557,-6.1472895038479365,1.8351554974094448,-0.010118958847226578,-8.127764874567369,-1.4079723067813492,297.7429040252084,-302.51517207811884,-167.3492519648031,429.6875933452679
2000-07-19 04:00:00,245.0,0.9636507878981284,-5.484841051644542,1.8462271677618451,0.48031052852373735,-8.916499912625675,-1.4474062356071409,298.03014015520085,-302.704630691642,-167.47106392071825,429.7041131728531
2000-07-20 04:00:00,247.0,2.37613107454109,-4.287996112324345,1.6166720632970848,0.9049361896883464,-9.676779935917848,-1.4851123384028821,298.31783827943207,-302.89377919179367,-167.59256574500046,429.7206557164806
2000-07-21 04:00:00,247.25,2.097295101129187,-2.930887292034602,1.2027412473105932,1.2617748367874488,-10.406716924756807,-1.5210587820725792,298.60600483392227,-303.08261686637184,-167.71375712138587,429.7372209674722
2000-07-24 04:00:00,245.5,-0.05675628289681822,-1.5358106242431455,0.6621078915276357,1.547421173531851,-11.104422859454989,-1.555213733520211,298.89464625469185,-303.27114300317527,-167.83463773361063,429.75380891714974
2000-07-25 04:00:00,245.5,-0.37293225788858053,-0.12205211262526139,0.05244516767319751,1.7584699036327058,-11.768009720325455,-1.587545359649388,299.1837689777612,-303.4593568900029,-167.95520726541068,429.7704195568351
2000-07-26 04:00:00,244.25,-1.8988222406306257,1.3017824755764975,-0.5685737525274559,1.8915157308009656,-12.395589487680743,-1.6180218273642324,299.47337943915045,-303.6472578146528,-168.07546540052243,429.7870528778504
2000-07-27 04:00:00,245.75,-0.6845988707015411,2.729670595913706,-1.1432756973491713,1.9431533587476113,-12.985274141833521,-1.6466113035686654,299.7634840748801,-303.83484506492397,-168.19541182268193,429.80370887151736
2000-07-28 04:00:00,248.5,1.7092323211432072,4.165922595114866,-1.6139874950670505,1.9100027131367003,-13.535200885049408,-1.6732819551664972,300.0540892443021,-304.0221178519466,-168.3150462156255,429.82038752915815
2000-07-31 04:00:00,246.0,-1.1198184916158305,5.45683311567233,-1.923035973955713,1.7887846074436906,-14.043607807405667,-1.69800194906182,300.34520100009627,-304.2090750801786,-168.43436826308908,429.83708884209443
2000-08-01 04:00:00,245.0,-1.6818454273774273,5.804480692462921,-2.012031567212764,1.5773490815146451,-14.508758220932485,-1.7207394521583583,300.63682531827436,-304.39571557741016,-168.55337764880892,429.8538128016482
2000-08-02 04:00:00,246.5,1.7367876308552002,4.447544246894124,-1.838900214252523,1.2795310594862523,-14.928915437659983,-1.7414626313600898,300.92896817484785,-304.58203817143095,-168.6720740565213,429.8705593991414
2000-08-03 04:00:00,242.25,0.6955260334100933,1.5975219471726427,-1.4385279841064924,0.9074971149817956,-15.302342769618305,-1.7601396535709113,301.22163554582846,-304.76804169003105,-168.79045716996228,429.88732862589603
2000-08-04 04:00:00,236.5,-1.5599175615393612,-1.7027431264338895,-0.8687907466897998,0.4787914026019646,-15.627303528837551,-1.7767386856948557,301.51483340722797,-304.9537249610003,-168.90852667286796,429.9041204732338
2000-08-07 04:00:00,233.5,-1.9405464959500425,-4.253691893527401,-0.1885165505068761,0.011910255536582204,-15.902061027347877,-1.791227894635763,301.80856773505775,-305.13908681212854,-169.02628224897472,429.9209349324769
2000-08-08 04:00:00,236.5,1.9210331936336709,-5.13416257912248,0.5414948910754469,-0.4726783281619933,-16.12487857717953,-1.8035754472974972,302.1028445053297,-305.32412607120585,-169.14372358201854,429.93777199494707
2000-08-09 04:00:00,235.5,0.35458957464761054,-4.632474305025783,1.2496639980530577,-0.9466196909922171,-16.294019490362626,-1.813749510583953,302.39766969405525,-305.50884156602206,-169.26085035573556,429.9546316519663
2000-08-10 04:00:00,235.75,-0.5536201921074326,-3.5318624576565143,1.8508666968069598,-1.3795875105901505,-16.407747078927258,-1.8217166447633046,302.6930476706103,-305.6932321243669,-169.37766225386218,429.97151389485646
2000-08-11 04:00:00,236.75,-1.095018228204099,-1.9849899338724826,2.2599160698049143,-1.7440858278665636,-16.464324654903525,-1.8274369835603603,302.9889763778274,-305.8772965740304,-169.49415896013426,429.9884187149394
