Date,Close,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11
2000-07-17 04:00:00,244.0,189.1769992223117,75.24339575077126,-95.89204253861955,101.24880913953126,-48.407021070859635,-9.104531162906678,-42.35150125929907,-22.340551480218735,-3.0549860469592027,-165.02213686362063,410.8519510760132
2000-07-18 04:00:00,241.25,-215.3297992994466,-52.644035565977234,-123.46163685499673,105.61865199310452,-48.88465479630325,-9.402343937375154,-42.26560011076104,-22.365274512420175,-2.941218812720249,-165.06537093556685,410.88744667386726
2000-07-19 04:00:00,245.0,216.70599485468807,-229.91216102239696,-129.6241138767629,101.3072668525101,-49.33296021747853,-9.63832167047143,-42.12025346914345,-22.388172720923198,-2.8271835810181734,-165.1083603617995,410.9229649429325
2000-07-20 04:00:00,247.0,35.40652536284476,-258.09121345739,-108.32338693063824,87.64763737105257,-49.71325205047125,-9.81036281049372,-41.914419335058476,-22.409254969098225,-2.712881778613757,-165.1511050925669,410.9585058742567
2000-07-21 04:00:00,247.25,-124.61023729353333,-136.7873729455685,-59.221670995146965,66.49276659170165,-49.97638905659357,-9.915945599775423,-41.64747591508342,-22.428530120316154,-2.5983148322674077,-165.19360507811675,410.99406945888757
2000-07-24 04:00:00,245.5,-229.50609449853405,79.96846604715309,4.634894885615566,40.32827639353638,-50.072084985271985,-9.952456608932787,-41.320038099398595,-22.44600703794742,-2.4834841687399467,-165.23586026869722,411.02965568787397
2000-07-25 04:00:00,245.5,233.3077918138079,258.38540186172753,67.01234536018919,11.639788655635524,-49.94524684313055,-9.921416382620434,-40.93339354694794,-22.46169458536281,-2.368391214791842,-165.27787061455635,411.06526455226395
2000-07-26 04:00:00,244.25,-236.8298671899207,162.93713430811255,113.10999413926281,-17.087074742921743,-49.5387298438778,-9.826091405818289,-40.48913576926611,-22.475601351422025,-2.2530376716946146,-165.31963606594215,411.10089604310525
2000-07-27 04:00:00,245.75,166.74225049897527,-117.87530052549862,133.9744055566866,-43.48082629761804,-48.7951625059643,-9.669919534638835,-39.98891360201279,-22.48773482694186,-2.1374263387626513,-165.3611565731026,411.13655015144633
2000-07-28 04:00:00,248.5,252.51249953091065,-259.64748276654154,122.72724282587642,-65.8117983213522,-47.65717334784095,-9.456338625194698,-39.43437588084745,-22.498102228228372,-2.0215602898213305,-165.40243208628584,411.1722268683352
2000-07-31 04:00:00,246.0,-269.17142349788355,-111.6927758040629,77.43790486392297,-83.20558677826436,-46.06739088795836,-9.188786533598318,-38.82717144142977,-22.506710771587567,-1.9054425986957775,-165.4434625557397,411.2079261848203
2000-08-01 04:00:00,245.0,290.8163583895613,132.6829059879034,12.730961116819572,-94.97306995166424,-43.96844364476727,-8.870701115962586,-38.16894911941907,-22.513567673325426,-1.7890763392113236,-165.48424793171247,411.24364809194947
2000-08-02 04:00:00,246.5,97.38181658731104,251.43789209620746,-52.67654691700683,-100.42512612486149,-41.30296013671856,-8.505520228399801,-37.46135775047514,-22.518680149747745,-1.6724645851933164,-165.52478816445225,411.2793925807711
2000-08-03 04:00:00,242.25,48.623463261249526,235.05756234174618,-102.86891156203687,-98.85149091382975,-38.03471154959924,-8.096681727022599,-36.70604617025746,-22.522055417160814,-1.5556104104668727,-165.56508320420656,411.31515964233375
2000-08-04 04:00:00,236.5,-330.9410855694433,137.96734593048717,-133.13576043438206,-89.45732926519578,-34.21203973854268,-7.6476234679437045,-35.90466321442553,-22.523700691870413,-1.4385168888574142,-165.6051330012238,411.3509492676847
2000-08-07 04:00:00,233.5,317.19185086419634,7.406122058693967,-141.25039331235666,-71.74432511895445,-29.904429226018685,-7.161783307275529,-35.058857718639004,-22.523623190182565,-1.3211870941900952,-165.64493750575198,411.38676144787235
2000-08-08 04:00:00,236.5,-76.49656489812143,-129.9526149662652,-123.38210541138683,-46.818166977989,-25.18136453449695,-6.642599101130775,-34.17027851855737,-22.521830128403238,-1.2036241002902557,-165.68449666803915,411.4225961739451
2000-08-09 04:00:00,235.5,-246.9120533577315,-179.08514186819244,-74.84260964117205,-17.435636686183045,-20.11233018644727,-6.093508705622027,-33.24057444984009,-22.518328722838586,-1.085830980983122,-165.72381043833326,411.4584534369516
2000-08-10 04:00:00,235.75,204.53516580202768,-67.17949868853051,1.0807716235388938,13.313125992505386,-14.766810704339184,-5.51794997686173,-32.27139434814702,-22.51312618979442,-0.9678108100938694,-165.76287876688232,411.494333227939
