Model,Fold1,Fold2,Fold3,Fold4,Fold5,Average
EMD,-1.8551029798255767,0.6847354942015813,0.8861006478221171,0.9660339215061469,0.9710349138847109,0.33056039951779587
EEMD,-1.3940997528494155,-0.2036440063731022,0.6797893555752557,0.9426358129054213,0.9707741256863976,0.1990911069889114
CEEMD,-1.007750702082645,0.20131433704236246,0.8501547862059824,0.9635107473909803,0.97526299956001,0.39649843362333803
CEEMDAN,-0.6528311590507303,0.7865565541232518,0.7690796490480397,0.9397467614041781,0.9084019245231897,0.5501907460095857
